Strain	Admin Division	Originating Lab	Submitting Lab	gisaid_epi_isl	url	Country	Region	Host	Submission Date	Location	Clade	Collection Data	Author	Exposure History	genbank_accession
Wuhan/HBCDC-HB-04/2020	Hubei	Union Hospital of Tongji Medical College, Huazhong University of Science and Technology	Hubei Provincial Center for Disease Control and Prevention	EPI_ISL_412980		China	Asia	Human	One month ago	Wuhan	B	2020-01-18	Fang et al		
China/Shanghai/SH0010	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416323		China	Asia	Human	1-2 days ago		B	2020-01-29	Wang et al		
Wuhan/HBCDC-HB-02/2020	Hubei	The Central Hospital Of Wuhan	Hubei Provincial Center for Disease Control and Prevention	EPI_ISL_412978		China	Asia	Human	One month ago	Wuhan	B	2020-01-17	Fang et al		
Wuhan/HBCDC-HB-06/2020	Hubei	Wuhan Lung Hospital	Hubei Provincial Center for Disease Control and Prevention	EPI_ISL_412982		China	Asia	Human	One month ago	Wuhan	B	2020-02-07	Fang et al		
China/Shanghai/SH0075	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416378		China	Asia	Human	1-2 days ago		B	2020-01-30	Wang et al		
China/Shanghai/SH0030	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416339		China	Asia	Human	1-2 days ago		B	2020-02-03	Wang et al		
China/Shanghai/SH0034	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416343		China	Asia	Human	1-2 days ago		B	2020-02-04	Wang et al		
Tianmen/HBCDC-HB-07/2020	Hubei	Tianmen Center for Disease Control and Prevention	Hubei Provincial Center for Disease Control and Prevention	EPI_ISL_412983		China	Asia	Human	One month ago	Tianmen	B	2020-02-08	Fang et al		
Guangdong/2020XN4273-P0036/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413860		China	Asia	Human	One week ago		B	2020-01-30	Lu et al		
SouthKorea/KCDC05/2020	Seoul	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	EPI_ISL_412869		South Korea	Asia	Human	One month ago	Seoul	B	2020-01-30	Kim et al		
China/Shanghai/SH0026	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416335		China	Asia	Human	1-2 days ago		B	2020-02-02	Wang et al		
China/Shanghai/SH0041	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416350		China	Asia	Human	1-2 days ago		B	2020-01-29	Wang et al		
Guangdong/2020XN4475-P0042/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413854		China	Asia	Human	One week ago		B	2020-01-30	Lu et al		
India/1-31/2020	Kerala	Indian Council of Medical Research-National Institute of Virology	National Influenza Center, Indian Council of Medical Research-National Institute of Virology	EPI_ISL_413523		India	Asia	Human	One month ago		B	2020-01-31	Potdar et al	China	
England/01/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_407071		United Kingdom	Europe	Human	Older		B	2020-01-29	Galiano et al	Hubei	
England/02/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_407073		United Kingdom	Europe	Human	Older		B	2020-01-29	Galiano et al	Hubei	
Chile/Talca-1/2020	Talca	Hospital de Talca, Chile	Instituto de Salud Publica de Chile	EPI_ISL_414577		Chile	South America	Human	One week ago		B	2020-03-02	Castillo et al		
Chile/Talca-2/2020	Talca	Hospital de Talca, Chile	Instituto de Salud Publica de Chile	EPI_ISL_414578		Chile	South America	Human	One week ago		B	2020-03-04	Castillo et al		
