:END_ID(strain_id),:START_ID(pathogen_taxonomy_id),:TYPE
Anhui/SZ005/2020,2697049,HAS
Australia/NSW01/2020,2697049,HAS
Australia/NSW02/2020,2697049,HAS
Australia/NSW03/2020,2697049,HAS
Australia/NSW05/2020,2697049,HAS
Australia/NSW06/2020,2697049,HAS
Australia/NSW07/2020,2697049,HAS
Australia/NSW08/2020,2697049,HAS
Australia/NSW09/2020,2697049,HAS
Australia/NSW10/2020,2697049,HAS
Australia/NSW11/2020,2697049,HAS
Australia/NSW12/2020,2697049,HAS
Australia/NSW13/2020,2697049,HAS
Australia/NSW14/2020,2697049,HAS
Australia/QLD01/2020,2697049,HAS
Australia/QLD02/2020,2697049,HAS
Australia/QLD03/2020,2697049,HAS
Australia/QLD04/2020,2697049,HAS
Australia/QLD09/2020,2697049,HAS
Australia/VIC01/2020,2697049,HAS
Australia/VIC02/2020,2697049,HAS
Australia/VIC03/2020,2697049,HAS
Australia/VIC04/2020,2697049,HAS
Australia/VIC05/2020,2697049,HAS
Australia/VIC06/2020,2697049,HAS
Australia/VIC07/2020,2697049,HAS
Beijing/105/2020,2697049,HAS
Beijing/231/2020,2697049,HAS
Beijing/233/2020,2697049,HAS
Beijing/235/2020,2697049,HAS
Beijing/IVDC-BJ-005/2020,2697049,HAS
Belgium/BA-02291/2020,2697049,HAS
Belgium/BC-03016/2020,2697049,HAS
Belgium/BM-03012/2020,2697049,HAS
Belgium/GHB-03021/2020,2697049,HAS
Belgium/QKJ-03015/2020,2697049,HAS
Belgium/SH-03014/2020,2697049,HAS
Belgium/VAG-03013/2020,2697049,HAS
Belgium/VLM-03011/2020,2697049,HAS
Brazil-RJ/314/2020,2697049,HAS
Brazil/BA-312/2020,2697049,HAS
Brazil/ES-225/2020,2697049,HAS
Brazil/SPBR-01/2020,2697049,HAS
Brazil/SPBR-02/2020,2697049,HAS
Brazil/SPBR-03/2020,2697049,HAS
Brazil/SPBR-04/2020,2697049,HAS
Brazil/SPBR-05/2020,2697049,HAS
