:END_ID(strain_id),:START_ID(host_id),:TYPE
Anhui/SZ005/2020,Anhui/SZ005/2020,CARRIES
Australia/NSW01/2020,Australia/NSW01/2020,CARRIES
Australia/NSW02/2020,Australia/NSW02/2020,CARRIES
Australia/NSW03/2020,Australia/NSW03/2020,CARRIES
Australia/NSW05/2020,Australia/NSW05/2020,CARRIES
Australia/NSW06/2020,Australia/NSW06/2020,CARRIES
Australia/NSW07/2020,Australia/NSW07/2020,CARRIES
Australia/NSW08/2020,Australia/NSW08/2020,CARRIES
Australia/NSW09/2020,Australia/NSW09/2020,CARRIES
Australia/NSW10/2020,Australia/NSW10/2020,CARRIES
Australia/NSW11/2020,Australia/NSW11/2020,CARRIES
Australia/NSW12/2020,Australia/NSW12/2020,CARRIES
Australia/NSW13/2020,Australia/NSW13/2020,CARRIES
Australia/NSW14/2020,Australia/NSW14/2020,CARRIES
Australia/QLD01/2020,Australia/QLD01/2020,CARRIES
Australia/QLD02/2020,Australia/QLD02/2020,CARRIES
Australia/QLD03/2020,Australia/QLD03/2020,CARRIES
Australia/QLD04/2020,Australia/QLD04/2020,CARRIES
Australia/QLD09/2020,Australia/QLD09/2020,CARRIES
Australia/VIC01/2020,Australia/VIC01/2020,CARRIES
Australia/VIC02/2020,Australia/VIC02/2020,CARRIES
Australia/VIC03/2020,Australia/VIC03/2020,CARRIES
Australia/VIC04/2020,Australia/VIC04/2020,CARRIES
Australia/VIC05/2020,Australia/VIC05/2020,CARRIES
Australia/VIC06/2020,Australia/VIC06/2020,CARRIES
Australia/VIC07/2020,Australia/VIC07/2020,CARRIES
Beijing/105/2020,Beijing/105/2020,CARRIES
Beijing/231/2020,Beijing/231/2020,CARRIES
Beijing/233/2020,Beijing/233/2020,CARRIES
Beijing/235/2020,Beijing/235/2020,CARRIES
Beijing/IVDC-BJ-005/2020,Beijing/IVDC-BJ-005/2020,CARRIES
Belgium/BA-02291/2020,Belgium/BA-02291/2020,CARRIES
Belgium/BC-03016/2020,Belgium/BC-03016/2020,CARRIES
Belgium/BM-03012/2020,Belgium/BM-03012/2020,CARRIES
Belgium/GHB-03021/2020,Belgium/GHB-03021/2020,CARRIES
Belgium/QKJ-03015/2020,Belgium/QKJ-03015/2020,CARRIES
Belgium/SH-03014/2020,Belgium/SH-03014/2020,CARRIES
Belgium/VAG-03013/2020,Belgium/VAG-03013/2020,CARRIES
Belgium/VLM-03011/2020,Belgium/VLM-03011/2020,CARRIES
Brazil-RJ/314/2020,Brazil-RJ/314/2020,CARRIES
Brazil/BA-312/2020,Brazil/BA-312/2020,CARRIES
Brazil/ES-225/2020,Brazil/ES-225/2020,CARRIES
Brazil/SPBR-01/2020,Brazil/SPBR-01/2020,CARRIES
Brazil/SPBR-02/2020,Brazil/SPBR-02/2020,CARRIES
Brazil/SPBR-03/2020,Brazil/SPBR-03/2020,CARRIES
Brazil/SPBR-04/2020,Brazil/SPBR-04/2020,CARRIES
Brazil/SPBR-05/2020,Brazil/SPBR-05/2020,CARRIES
Brazil/SPBR-06/2020,Brazil/SPBR-06/2020,CARRIES
Brazil/SPBR-07/2020,Brazil/SPBR-07/2020,CARRIES
Brazil/SPBR-08/2020,Brazil/SPBR-08/2020,CARRIES
Brazil/SPBR-09/2020,Brazil/SPBR-09/2020,CARRIES
Brazil/SPBR-10/2020,Brazil/SPBR-10/2020,CARRIES
Brazil/SPBR-11/2020,Brazil/SPBR-11/2020,CARRIES
Brazil/SPBR-12/2020,Brazil/SPBR-12/2020,CARRIES
Brazil/SPBR-13/2020,Brazil/SPBR-13/2020,CARRIES
Brazil/SPBR-14/2020,Brazil/SPBR-14/2020,CARRIES
Cambodia/0012/2020,Cambodia/0012/2020,CARRIES
Canada/BC_02421/2020,Canada/BC_02421/2020,CARRIES
