:START_ID(strain_id),:END_ID(strain_country),:TYPE
/Belgium/SN-03031/2020,Belgium,FOUND_IN
Anhui/SZ005/2020,Mainland China,FOUND_IN
Australia/NSW01/2020,Australia,FOUND_IN
Australia/NSW02/2020,Australia,FOUND_IN
Australia/NSW03/2020,Australia,FOUND_IN
Australia/NSW05/2020,Australia,FOUND_IN
Australia/NSW06/2020,Australia,FOUND_IN
Australia/NSW07/2020,Australia,FOUND_IN
Australia/NSW08/2020,Australia,FOUND_IN
Australia/NSW09/2020,Australia,FOUND_IN
Australia/NSW10/2020,Australia,FOUND_IN
Australia/NSW11/2020,Australia,FOUND_IN
Australia/NSW12/2020,Australia,FOUND_IN
Australia/NSW13/2020,Australia,FOUND_IN
Australia/NSW14/2020,Australia,FOUND_IN
Australia/QLD01/2020,Australia,FOUND_IN
Australia/QLD02/2020,Australia,FOUND_IN
Australia/QLD03/2020,Australia,FOUND_IN
Australia/QLD04/2020,Australia,FOUND_IN
Australia/QLD09/2020,Australia,FOUND_IN
Australia/VIC01/2020,Australia,FOUND_IN
Australia/VIC02/2020,Australia,FOUND_IN
Australia/VIC03/2020,Australia,FOUND_IN
Australia/VIC04/2020,Australia,FOUND_IN
Australia/VIC05/2020,Australia,FOUND_IN
Australia/VIC06/2020,Australia,FOUND_IN
Australia/VIC07/2020,Australia,FOUND_IN
Australia/VIC08/2020,Australia,FOUND_IN
Australia/VIC09/2020,Australia,FOUND_IN
Australia/VIC10/2020,Australia,FOUND_IN
Australia/VIC11/2020,Australia,FOUND_IN
Australia/VIC12/2020,Australia,FOUND_IN
Beijing/105/2020,Mainland China,FOUND_IN
Beijing/231/2020,Mainland China,FOUND_IN
Beijing/233/2020,Mainland China,FOUND_IN
Beijing/235/2020,Mainland China,FOUND_IN
Beijing/IVDC-BJ-005/2020,Mainland China,FOUND_IN
Belgium/BA-02291/2020,Belgium,FOUND_IN
Belgium/BC-03016/2020,Belgium,FOUND_IN
Belgium/BM-03012/2020,Belgium,FOUND_IN
Belgium/DB-03023/2020,Belgium,FOUND_IN
Belgium/DBA-03032/2020,Belgium,FOUND_IN
Belgium/DBD-03024/2020,Belgium,FOUND_IN
Belgium/GHB-03021/2020,Belgium,FOUND_IN
Belgium/GMH-03022/2020,Belgium,FOUND_IN
Belgium/MTR-03021/2020,Belgium,FOUND_IN
Belgium/MTR-03026/2020,Belgium,FOUND_IN
