# This file is used look up NCBI taxonomy ids for organism names.
#
# NOTE, organism names must be lower case.
# Included Environment as a special case.
# Mink is ambigous, since the data are from Europe, mink has been assigned to mustela lutreola
#
organism,taxonomyId
human,taxonomy:9606
homo sapiens,taxonomy:9606
gorilla gorilla gorilla,taxonomy:9595
chlorocebus sabaeus,taxonomy:60711
mus musculus,taxonomy:10090
rhinolophus affinis,taxonomy:59477 
rhinolophus malayanus,taxonomy:608659
rhinolophus shameli,taxonomy:608708
mustela lutreola,taxonomy:9666
mustela putorius furo,taxonomy:9669
mink,taxonomy:9666
panthera tigris jacksoni,taxonomy:419130
rhinolophus sp. (bat),taxonomy:49442
rhinolophus bat,taxonomy:49442
bat,taxonomy:49442
manis javanica,taxonomy:9974
manis pentadactyla,taxonomy:143292
palm civet,taxonomy:71116
canine,taxonomy:9608
canis lupus familiaris,taxonomy:9615
felis catus,taxonomy:9685
neovison vison,taxonomy:452646
mesocricetus auratus,taxonomy:10036
panthera leo,taxonomy:9689
panthera tigris,taxonomy:9694
environment,taxonomy:151659
environmental,taxonomy:151659
