CT,SRA,MSA
100,1,0
201,1,0
202,1,0
300,1,0
400,1,0
500,1,0
600,1,0
700,1,0
800,1,0
900,1,0
1000,1,0
1100,1,0
1200,1,0
1300,1,0
1400,1,0
1500,1,0
1600,6,0
1700,6,0
1800,6,0
1900,6,0
2001,6,0
2002,6,0
2100,6,0
2201,6,0
2202,6,0
2301,6,0
2302,6,0
2401,6,0
2402,6,0
2501,6,0
2502,6,0
2601,6,0
2602,6,0
2702,6,0
2703,6,0
2705,6,0
2707,6,0
2708,6,0
2709,6,0
2710,6,0
2711,6,0
2712,6,0
2801,6,0
2803,6,0
2804,6,0
2902,6,0
2903,6,0
2904,6,0
2905,6,0
3001,5,0
3003,5,0
3004,5,0
3101,5,0
3103,5,0
3105,5,0
3107,5,0
3108,5,0
3109,5,0
3111,5,0
3112,5,0
3113,5,0
3114,5,0
3115,5,0
3201,5,0
3202,5,0
3204,20,2
3207,5,0
3208,5,0
3209,5,0
3211,5,0
3212,5,0
3213,5,0
3214,5,0
3301,5,0
3303,5,0
3304,5,0
3305,5,0
3401,6,0
3403,5,0
3404,5,0
3501,5,0
3502,5,0
3601,5,0
3602,5,0
3603,5,0
3800,1,0
3901,1,0
3902,1,0
4000,1,0
4100,1,0
4200,1,0
4300,1,0
4400,1,0
4501,1,0
4600,1,0
4700,1,0
4800,1,0
4900,1,0
5000,1,0
5100,1,0
5200,1,0
5300,1,0
5400,1,0
5500,1,0
5600,1,0
5700,1,0
5800,1,0
5900,1,0
6000,1,0
6100,1,0
6200,2,0
6300,2,0
6500,2,0
6600,2,0
6801,2,0
6802,2,0
6900,2,0
7002,2,0
7100,2,0
7200,2,0
7301,2,0
7302,2,0
7400,2,0
7501,2,0
7502,2,0
7600,11,1
7701,11,1
7702,11,1
7800,11,1
7903,11,1
7905,11,1
7907,11,1
7908,11,1
7910,11,1
8002,11,1
8003,11,1
8006,11,1
8101,11,1
8102,11,1
8200,11,1
8301,11,1
8303,11,1
8305,12,1
8306,12,1
8307,12,1
8310,11,1
8311,11,1
8312,11,1
8313,11,1
8324,13,1
8327,13,1
8328,13,1
8329,13,1
8330,13,1
8331,13,1
8333,13,1
8335,13,1
8336,13,1
8337,13,1
8339,12,1
8340,12,1
8341,12,1
8343,12,1
8344,12,1
8345,12,1
8346,13,1
8347,13,1
8348,13,1
8349,13,1
8350,13,1
8351,13,1
8352,13,1
8353,13,1
8354,13,1
8355,13,1
8356,13,1
8357,13,1
8358,13,1
8359,13,1
8360,13,1
8361,12,1
8362,12,1
8363,12,1
8364,12,1
8365,13,1
8366,13,1
8501,10,1
8502,10,1
8503,10,1
8504,10,1
8505,10,1
8506,10,1
8507,10,1
8509,10,1
8510,10,1
8511,10,1
8512,10,1
8513,10,1
8600,10,1
8701,10,1
8702,10,1
8800,10,1
8901,10,1
8902,10,1
9000,10,1
9101,10,1
9102,10,1
9103,10,1
9104,10,1
9106,10,1
9107,10,1
9201,10,1
9202,10,1
9301,10,1
9304,10,1
9305,10,1
9306,10,1
9400,16,1
9502,17,1
9504,17,1
9505,17,1
9506,17,1
9507,17,1
9509,17,1
9510,17,1
9511,17,1
9602,17,1
9603,17,1
9604,17,1
9703,17,1
9704,17,1
9705,17,1
9706,17,1
9801,17,1
9802,17,1
9804,17,1
9805,17,1
9901,2,0
9902,1,0
10001,22,2
10003,22,2
10004,22,2
10005,22,2
10009,22,2
10010,22,2
10011,22,2
10012,22,2
10013,22,2
10014,22,2
10015,22,2
10103,22,2
10104,22,2
10106,22,2
10107,22,2
10109,22,2
10110,22,2
10111,22,2
10112,22,2
10200,22,2
10300,22,2
10401,22,2
10402,22,2
10501,22,2
10502,22,2
10601,3,0
10800,3,0
10900,3,0
11000,3,0
11100,3,0
11300,3,0
11601,4,0
11602,4,0
11700,4,0
11801,4,0
11802,4,0
11902,4,0
12002,4,0
12003,4,0
12101,4,0
12102,4,0
12200,4,0
12302,21,2
12303,21,2
12304,21,2
12401,21,2
12402,21,2
12501,21,2
12502,21,2
12600,21,2
12700,21,2
12800,21,2
12900,21,2
13000,21,2
13102,21,2
13103,21,2
13104,21,2
13203,21,2
13204,21,2
13205,21,2
13206,21,2
13301,21,2
13302,21,2
13303,21,2
13306,21,2
13307,21,2
13308,21,2
13309,20,2
13310,20,2
13311,20,2
13312,20,2
13313,20,2
13314,20,2
13401,21,2
13409,20,2
13410,20,2
13411,20,2
13412,20,2
13414,20,2
13415,20,2
13416,20,2
13417,20,2
13418,20,2
13419,20,2
13420,20,2
13421,20,2
13503,31,3
13504,31,3
13505,31,3
13506,31,3
13601,31,3
13604,31,3
13605,31,3
13606,31,3
13701,31,3
13702,31,3
13801,31,3
13802,31,3
13903,31,3
13905,31,3
13906,31,3
13907,31,3
13908,31,3
13909,31,3
14001,32,3
14002,32,3
14101,32,3
14102,32,3
14200,32,3
14300,32,3
14400,32,3
14500,33,3
14601,33,3
14602,33,3
14700,33,3
14803,33,3
14804,33,3
14805,33,3
14806,33,3
14901,33,3
14902,33,3
15000,33,3
15100,33,3
15200,33,3
15301,34,3
15302,34,3
15403,34,3
15404,34,3
15405,34,3
15406,34,3
15501,37,3
15502,37,3
15601,34,3
15602,34,3
15701,34,3
15703,34,3
15704,34,3
15801,34,3
15802,34,3
15901,34,3
15902,34,3
16000,34,3
16100,34,3
16201,34,3
16202,34,3
16301,34,3
16302,34,3
16401,34,3
16402,34,3
16502,34,3
16503,34,3
16504,34,3
16605,35,3
16606,35,3
16607,35,3
16608,35,3
16609,35,3
16610,35,3
16612,35,3
16613,35,3
16614,35,3
16615,35,3
16616,35,3
16617,35,3
16701,36,3
16702,36,3
16802,37,3
16804,36,3
16806,36,3
16807,36,3
16809,36,3
16810,36,3
16811,36,3
16901,36,3
16902,36,3
17006,15,1
17009,15,1
17010,15,1
17014,14,1
17015,14,1
17018,14,1
17019,15,1
17020,15,1
17021,15,1
17022,15,1
17029,14,1
17030,14,1
17031,14,1
17032,14,1
17033,14,1
17034,14,1
17035,14,1
17036,14,1
17037,14,1
17039,14,1
17040,15,1
