#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P0DTC4	uniprotkb:Q8IWA5	intact:EBI-25475850|intact:EBI-25475853|intact:EBI-25475856|intact:EBI-25474821|intact:EBI-25475847|intact:EBI-25475880|intact:EBI-25475882|intact:EBI-25475885|intact:EBI-25475888|intact:EBI-25475920|intact:EBI-25475891|intact:EBI-25475859|intact:EBI-25475862|intact:EBI-25475864|intact:EBI-25475868|intact:EBI-25475871|intact:EBI-25475874|intact:EBI-25475877|intact:EBI-25475906|intact:EBI-25475894|intact:EBI-25475912|intact:EBI-25475897|intact:EBI-25475903|intact:EBI-25475900|intact:EBI-25475909|intact:EBI-25475917	intact:EBI-11722896|uniprotkb:B2RBB1|uniprotkb:B3KNH3|uniprotkb:B4DFJ0|uniprotkb:F2Q9D7|uniprotkb:Q658V1|uniprotkb:Q658Z2|uniprotkb:Q6PJV7|uniprotkb:Q8N2F0|uniprotkb:Q9NY68	psi-mi:e_wcpv(display_long)	psi-mi:ctl2_human(display_long)|uniprotkb:SLC44A2(gene name)|psi-mi:SLC44A2(display_short)|uniprotkb:CTL2(gene name synonym)|uniprotkb:Solute carrier family 44 member 2(gene name synonym)|uniprotkb:PSEC0210(orf name)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490454	intact-miscore:0.35
uniprotkb:P0DTC4	uniprotkb:Q86VM9	intact:EBI-25475850|intact:EBI-25475853|intact:EBI-25475856|intact:EBI-25474821|intact:EBI-25475847|intact:EBI-25475880|intact:EBI-25475882|intact:EBI-25475885|intact:EBI-25475888|intact:EBI-25475920|intact:EBI-25475891|intact:EBI-25475859|intact:EBI-25475862|intact:EBI-25475864|intact:EBI-25475868|intact:EBI-25475871|intact:EBI-25475874|intact:EBI-25475877|intact:EBI-25475906|intact:EBI-25475894|intact:EBI-25475912|intact:EBI-25475897|intact:EBI-25475903|intact:EBI-25475900|intact:EBI-25475909|intact:EBI-25475917	intact:EBI-1045965|uniprotkb:Q96DG4|uniprotkb:Q96MP7	psi-mi:e_wcpv(display_long)	psi-mi:zch18_human(display_long)|uniprotkb:NHN1(gene name synonym)|uniprotkb:Nuclear protein NHN1(gene name synonym)|uniprotkb:ZC3H18(gene name)|psi-mi:ZC3H18(display_short)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490454	intact-miscore:0.35
uniprotkb:P0DTC4	uniprotkb:Q6UX04	intact:EBI-25475850|intact:EBI-25475853|intact:EBI-25475856|intact:EBI-25474821|intact:EBI-25475847|intact:EBI-25475880|intact:EBI-25475882|intact:EBI-25475885|intact:EBI-25475888|intact:EBI-25475920|intact:EBI-25475891|intact:EBI-25475859|intact:EBI-25475862|intact:EBI-25475864|intact:EBI-25475868|intact:EBI-25475871|intact:EBI-25475874|intact:EBI-25475877|intact:EBI-25475906|intact:EBI-25475894|intact:EBI-25475912|intact:EBI-25475897|intact:EBI-25475903|intact:EBI-25475900|intact:EBI-25475909|intact:EBI-25475917	intact:EBI-2214108|uniprotkb:O60529|uniprotkb:O60530|uniprotkb:Q96EM3	psi-mi:e_wcpv(display_long)	psi-mi:cwc27_human(display_long)|uniprotkb:SDCCAG10(gene name synonym)|uniprotkb:CWC27(gene name)|psi-mi:CWC27(display_short)|uniprotkb:Serologically defined colon cancer antigen 10(gene name synonym)|uniprotkb:Antigen NY-CO-10(gene name synonym)|uniprotkb:UNQ438/PRO871(orf name)|uniprotkb:Probable inactive peptidyl-prolyl cis-trans isomerase CWC27 homolog(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490454	intact-miscore:0.35
uniprotkb:P0DTC4	uniprotkb:P25440	intact:EBI-25475850|intact:EBI-25475853|intact:EBI-25475856|intact:EBI-25474821|intact:EBI-25475847|intact:EBI-25475880|intact:EBI-25475882|intact:EBI-25475885|intact:EBI-25475888|intact:EBI-25475920|intact:EBI-25475891|intact:EBI-25475859|intact:EBI-25475862|intact:EBI-25475864|intact:EBI-25475868|intact:EBI-25475871|intact:EBI-25475874|intact:EBI-25475877|intact:EBI-25475906|intact:EBI-25475894|intact:EBI-25475912|intact:EBI-25475897|intact:EBI-25475903|intact:EBI-25475900|intact:EBI-25475909|intact:EBI-25475917	intact:EBI-2874802|uniprotkb:Q63HQ9|uniprotkb:Q658Y7|uniprotkb:A2AAU0|uniprotkb:Q5STC9|uniprotkb:Q6P3U2|uniprotkb:O00699|uniprotkb:B1AZT1|uniprotkb:B0S7P0|uniprotkb:Q969U4|uniprotkb:Q15310|uniprotkb:O00700	psi-mi:e_wcpv(display_long)	psi-mi:brd2_human(display_long)|uniprotkb:BRD2(gene name)|psi-mi:BRD2(display_short)|uniprotkb:KIAA9001(gene name synonym)|uniprotkb:RING3(gene name synonym)|uniprotkb:O27.1.1(gene name synonym)|uniprotkb:Really interesting new gene 3 protein(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490454	intact-miscore:0.35
uniprotkb:P0DTC5	uniprotkb:Q9BSJ2	intact:EBI-25475853	intact:EBI-357881|uniprotkb:B4DM18|uniprotkb:F5H4E0|uniprotkb:O43632|uniprotkb:Q5VWX7|uniprotkb:B7ZKL8|uniprotkb:F5H4L0	psi-mi:m_wcpv(display_long)	psi-mi:gcp2_human(display_long)|uniprotkb:Spindle pole body protein Spc97 homolog(gene name synonym)|uniprotkb:Gamma-ring complex protein 103 kDa(gene name synonym)|uniprotkb:TUBGCP2(gene name)|psi-mi:TUBGCP2(display_short)|uniprotkb:GCP2(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490478	intact-miscore:0.35
uniprotkb:P0DTC5	uniprotkb:Q9BQT8	intact:EBI-25475853	intact:EBI-6268670|uniprotkb:A8K0L0|uniprotkb:G3V4L5|uniprotkb:Q3MJ99	psi-mi:m_wcpv(display_long)	psi-mi:odc_human(display_long)|uniprotkb:SLC25A21(gene name)|psi-mi:SLC25A21(display_short)|uniprotkb:ODC(gene name synonym)|uniprotkb:Solute carrier family 25 member 21(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490478	intact-miscore:0.35
uniprotkb:P0DTC5	uniprotkb:Q96HW7	intact:EBI-25475853	intact:EBI-5663129|uniprotkb:Q96GA1|uniprotkb:Q9BRC0|uniprotkb:Q6PJG4|uniprotkb:Q96G32|uniprotkb:Q2YD62|uniprotkb:Q7Z4E7	psi-mi:m_wcpv(display_long)	psi-mi:int4_human(display_long)|uniprotkb:MSTP093(orf name)|uniprotkb:INTS4(gene name)|psi-mi:INTS4(display_short)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490478	intact-miscore:0.35
uniprotkb:P0DTC5	uniprotkb:Q96HR9	intact:EBI-25475853	intact:EBI-750345|uniprotkb:A0A1L5BXV3|uniprotkb:D6W5Z0|uniprotkb:Q96LM0|uniprotkb:B2RE01	psi-mi:m_wcpv(display_long)	psi-mi:reep6_human(display_long)|uniprotkb:DP1L1(gene name synonym)|uniprotkb:Polyposis locus protein 1-like 1(gene name synonym)|uniprotkb:REEP6(gene name)|psi-mi:REEP6(display_short)|uniprotkb:C19orf32(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490478	intact-miscore:0.35
uniprotkb:P0DTC5	uniprotkb:Q96ER3	intact:EBI-25475853	intact:EBI-721193|uniprotkb:A6NH05	psi-mi:m_wcpv(display_long)	psi-mi:saal1_human(display_long)|uniprotkb:Synoviocyte proliferation-associated in collagen-induced arthritis protein 1(gene name synonym)|uniprotkb:SAAL1(gene name)|psi-mi:SAAL1(display_short)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490478	intact-miscore:0.35
uniprotkb:P0DTC5	uniprotkb:Q96D53	intact:EBI-25475853	intact:EBI-3957978|uniprotkb:Q8TAJ1|uniprotkb:Q9HA52	psi-mi:m_wcpv(display_long)	psi-mi:coq8b_human(display_long)|uniprotkb:COQ8B(gene name)|psi-mi:COQ8B(display_short)|uniprotkb:ADCK4(gene name synonym)|uniprotkb:AarF domain-containing protein kinase 4(gene name synonym)|uniprotkb:Coenzyme Q protein 8B(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490478	intact-miscore:0.35
