geometry,TractFIPS,City,Vacant Addresses %,Industrial Land Use %,Green Land Cover %,Social Vulner Factors,Floodplain 100y %,Floodplain 500y %,No health ins %,No health ins bounds,High Blood Pressure %,High Blood Pressure bounds,Cancer %,Cancer bounds,Asthma %,Asthma bounds,Hearth disease %,Hearth disease bounds,Lung disease( COPD) %,Lung disease( COPD) bounds,Diabetes %,Diabetes bounds,High Cholesterol %,High Cholesterol bounds,Kidney disease %,Kidney disease bounds,Mental health %,Mental health bounds,Obesity %,Obesity bounds,Poor physical health %,Poor physical health bounds,Stroke %,Stroke bounds
"MULTIPOLYGON (((-116.5600 32.8233,-116.5621 32.8188,-116.5657 32.8178,-116.5653 32.8152,-116.5674 32.8137,-116.5673 32.8119,-116.5682 32.8101,-116.5680 32.8074,-116.5709 32.8069,-116.5712 32.8051,-116.5746 32.8045,-116.5733 32.8018,-116.5744 32.8002,-116.5820 32.8000,-116.5839 32.7988,-116.5855 32.7994,-116.5894 32.7980,-116.5939 32.7992,-116.5948 32.7981,-116.5988 32.7985,-116.6011 32.7971,-116.6043 32.7972,-116.6061 32.7985,-116.6076 32.7987,-116.6105 32.7970,-116.6137 32.7940,-116.6139 32.7929,-116.6159 32.7923,-116.6194 32.7887,-116.6217 32.7885,-116.6233 32.7867,-116.6250 32.7874,-116.6258 32.7871,-116.6264 32.7835,-116.6301 32.7836,-116.6302 32.7814,-116.6333 32.7805,-116.6321 32.7776,-116.6324 32.7769,-116.6356 32.7774,-116.6362 32.7743,-116.6385 32.7756,-116.6385 32.7745,-116.6372 32.7736,-116.6371 32.7728,-116.6411 32.7720,-116.6396 32.7685,-116.6433 32.7642,-116.6417 32.7634,-116.6413 32.7625,-116.6434 32.7597,-116.6464 32.7590,-116.6479 32.7579,-116.6480 32.7536,-116.6504 32.7513,-116.6494 32.7484,-116.6509 32.7454,-116.6498 32.7430,-116.6514 32.7408,-116.6507 32.7384,-116.6530 32.7389,-116.6540 32.7385,-116.6535 32.7362,-116.6511 32.7343,-116.6511 32.7336,-116.6528 32.7321,-116.6543 32.7282,-116.6577 32.7247,-116.6586 32.7211,-116.6595 32.7208,-116.6610 32.7219,-116.6627 32.7221,-116.6634 32.7232,-116.6641 32.7226,-116.6649 32.7163,-116.6665 32.7129,-116.6661 32.7105,-116.6669 32.7094,-116.6724 32.7090,-116.6720 32.7114,-116.6734 32.7146,-116.6729 32.7146,-116.6761 32.7165,-116.6769 32.7176,-116.6795 32.7185,-116.6782 32.7194,-116.6776 32.7215,-116.6792 32.7241,-116.6813 32.7243,-116.6824 32.7274,-116.6822 32.7286,-116.6789 32.7322,-116.6787 32.7346,-116.6738 32.7432,-116.6720 32.7440,-116.6699 32.7439,-116.6701 32.7451,-116.6687 32.7464,-116.6694 32.7471,-116.6681 32.7486,-116.6709 32.7505,-116.6711 32.7522,-116.6746 32.7539,-116.6757 32.7557,-116.6755 32.7578,-116.6740 32.7594,-116.6742 32.7622,-116.6752 32.7644,-116.6886 32.7647,-116.6939 32.7667,-116.6989 32.7703,-116.7052 32.7712,-116.7085 32.7747,-116.7142 32.7779,-116.7082 32.7759,-116.7096 32.7775,-116.7088 32.7800,-116.7099 32.7827,-116.7083 32.7851,-116.7084 32.7872,-116.7090 32.7887,-116.7105 32.7895,-116.7187 32.7912,-116.7195 32.7924,-116.7223 32.7938,-116.7258 32.7938,-116.7318 32.7956,-116.7343 32.7947,-116.7355 32.7933,-116.7425 32.7955,-116.7451 32.7956,-116.7477 32.7934,-116.7502 32.7930,-116.7511 32.7976,-116.7485 32.8002,-116.7463 32.8014,-116.7464 32.8048,-116.7457 32.8060,-116.7429 32.8063,-116.7425 32.8086,-116.7434 32.8098,-116.7433 32.8125,-116.7411 32.8141,-116.7385 32.8145,-116.7386 32.8124,-116.7370 32.8124,-116.7330 32.8101,-116.7317 32.8102,-116.7312 32.8111,-116.7274 32.8125,-116.7242 32.8128,-116.7227 32.8123,-116.7219 32.8127,-116.7213 32.8118,-116.7220 32.8118,-116.7174 32.8110,-116.7167 32.8123,-116.7139 32.8130,-116.7131 32.8153,-116.7105 32.8181,-116.7067 32.8196,-116.7038 32.8219,-116.6970 32.8216,-116.6947 32.8220,-116.6890 32.8197,-116.6881 32.8209,-116.6846 32.8210,-116.6824 32.8217,-116.6809 32.8232,-116.6777 32.8236,-116.6762 32.8265,-116.6713 32.8272,-116.6737 32.8303,-116.6739 32.8330,-116.6766 32.8358,-116.6765 32.8378,-116.6810 32.8384,-116.6814 32.8402,-116.6837 32.8418,-116.6875 32.8417,-116.6874 32.8435,-116.6936 32.8435,-116.6937 32.8420,-116.7015 32.8420,-116.7013 32.8383,-116.7108 32.8382,-116.7109 32.8434,-116.7110 32.8490,-116.7068 32.8491,-116.7066 32.8564,-116.7025 32.8565,-116.7028 32.8664,-116.6987 32.8664,-116.6983 32.8635,-116.6948 32.8636,-116.6959 32.8692,-116.6981 32.8738,-116.6867 32.8735,-116.6865 32.8771,-116.6813 32.8771,-116.6811 32.8845,-116.6800 32.8832,-116.6767 32.8816,-116.6759 32.8819,-116.6754 32.8842,-116.6733 32.8852,-116.6718 32.8844,-116.6708 32.8855,-116.6693 32.8854,-116.6678 32.8838,-116.6659 32.8841,-116.6649 32.8848,-116.6643 32.8871,-116.6551 32.8936,-116.6542 32.8954,-116.6535 32.8957,-116.6511 32.8951,-116.6504 32.8959,-116.6534 32.8984,-116.6507 32.8995,-116.6483 32.9016,-116.6448 32.9017,-116.6441 32.9021,-116.6437 32.9041,-116.6412 32.9033,-116.6395 32.9035,-116.6367 32.9050,-116.6354 32.9044,-116.6351 32.9053,-116.6333 32.9062,-116.6324 32.9076,-116.6295 32.9095,-116.6268 32.9094,-116.6231 32.9121,-116.6213 32.9124,-116.6213 32.9117,-116.6193 32.9121,-116.6159 32.9145,-116.6151 32.9143,-116.6141 32.9156,-116.6135 32.9147,-116.6117 32.9141,-116.6105 32.9114,-116.6087 32.9100,-116.6080 32.9079,-116.6065 32.9075,-116.6047 32.9079,-116.6035 32.9056,-116.6020 32.9048,-116.6009 32.9049,-116.6002 32.9110,-116.5994 32.9122,-116.5971 32.9119,-116.5959 32.9129,-116.5921 32.9119,-116.5894 32.9108,-116.5846 32.9067,-116.5833 32.9063,-116.5800 32.9023,-116.5804 32.8983,-116.5764 32.8905,-116.5748 32.8850,-116.5764 32.8828,-116.5796 32.8818,-116.5830 32.8792,-116.5871 32.8750,-116.5877 32.8728,-116.5914 32.8668,-116.5920 32.8636,-116.5942 32.8597,-116.5943 32.8561,-116.5954 32.8544,-116.5950 32.8529,-116.5944 32.8524,-116.5930 32.8536,-116.5871 32.8561,-116.5806 32.8559,-116.5749 32.8541,-116.5674 32.8530,-116.5599 32.8488,-116.5510 32.8487,-116.5462 32.8454,-116.5441 32.8425,-116.5400 32.8411,-116.5374 32.8378,-116.5401 32.8384,-116.5410 32.8371,-116.5472 32.8326,-116.5491 32.8329,-116.5516 32.8303,-116.5543 32.8304,-116.5547 32.8295,-116.5534 32.8271,-116.5566 32.8268,-116.5572 32.8256,-116.5596 32.8247,-116.5600 32.8233)))",6073021202,Alpine,0.0005,,0.9338,2,0.0132,0.0022,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOLYGON (((-116.7311 32.8346,-116.7313 32.8327,-116.7329 32.8333,-116.7361 32.8329,-116.7510 32.8346,-116.7537 32.8308,-116.7539 32.8272,-116.7570 32.8265,-116.7584 32.8233,-116.7583 32.8195,-116.7588 32.8186,-116.7657 32.8158,-116.7733 32.8162,-116.7762 32.8154,-116.7799 32.8154,-116.7835 32.8180,-116.7887 32.8244,-116.7890 32.8287,-116.7907 32.8298,-116.7970 32.8304,-116.7997 32.8351,-116.8028 32.8368,-116.8058 32.8411,-116.8075 32.8417,-116.8086 32.8425,-116.8093 32.8442,-116.8080 32.8454,-116.8070 32.8472,-116.8073 32.8478,-116.8059 32.8481,-116.8008 32.8446,-116.7868 32.8397,-116.7755 32.8405,-116.7611 32.8382,-116.7484 32.8349,-116.7311 32.8346)))",6073021205,Alpine,0.0018,,0.4422,0,0.0307,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOLYGON (((-116.7502 32.7930,-116.7508 32.7917,-116.7596 32.7949,-116.7653 32.7862,-116.7731 32.7873,-116.7753 32.7854,-116.7835 32.7866,-116.7918 32.7847,-116.7939 32.7827,-116.7914 32.7788,-116.7935 32.7742,-116.7982 32.7727,-116.7988 32.7720,-116.8031 32.7729,-116.8032 32.7742,-116.8055 32.7745,-116.8068 32.7743,-116.8070 32.7725,-116.8097 32.7724,-116.8118 32.7706,-116.8121 32.7710,-116.8161 32.7702,-116.8189 32.7717,-116.8257 32.7725,-116.8239 32.7725,-116.8240 32.7795,-116.8144 32.7801,-116.8143 32.7910,-116.8239 32.7902,-116.8283 32.7904,-116.8288 32.7928,-116.8281 32.7957,-116.8249 32.7987,-116.8238 32.8008,-116.8194 32.8036,-116.8170 32.8042,-116.8123 32.8077,-116.8092 32.8122,-116.8100 32.8184,-116.8067 32.8189,-116.8064 32.8223,-116.8088 32.8237,-116.8092 32.8248,-116.8110 32.8254,-116.8121 32.8279,-116.8155 32.8312,-116.8144 32.8335,-116.8075 32.8417,-116.8058 32.8411,-116.8028 32.8368,-116.7997 32.8351,-116.7970 32.8304,-116.7907 32.8298,-116.7890 32.8287,-116.7887 32.8244,-116.7835 32.8180,-116.7799 32.8154,-116.7762 32.8154,-116.7733 32.8162,-116.7657 32.8158,-116.7588 32.8186,-116.7583 32.8195,-116.7584 32.8233,-116.7570 32.8265,-116.7539 32.8272,-116.7537 32.8308,-116.7510 32.8346,-116.7361 32.8329,-116.7329 32.8333,-116.7313 32.8327,-116.7311 32.8346,-116.7240 32.8344,-116.7180 32.8374,-116.7160 32.8400,-116.7120 32.8411,-116.7109 32.8434,-116.7108 32.8382,-116.7013 32.8383,-116.7015 32.8420,-116.6937 32.8420,-116.6936 32.8435,-116.6874 32.8435,-116.6875 32.8417,-116.6837 32.8418,-116.6814 32.8402,-116.6810 32.8384,-116.6765 32.8378,-116.6766 32.8358,-116.6739 32.8330,-116.6737 32.8303,-116.6713 32.8272,-116.6762 32.8265,-116.6777 32.8236,-116.6809 32.8232,-116.6824 32.8217,-116.6846 32.8210,-116.6881 32.8209,-116.6890 32.8197,-116.6947 32.8220,-116.6970 32.8216,-116.7038 32.8219,-116.7067 32.8196,-116.7105 32.8181,-116.7131 32.8153,-116.7139 32.8130,-116.7167 32.8123,-116.7174 32.8110,-116.7220 32.8118,-116.7213 32.8118,-116.7219 32.8127,-116.7227 32.8123,-116.7242 32.8128,-116.7274 32.8125,-116.7312 32.8111,-116.7317 32.8102,-116.7330 32.8101,-116.7370 32.8124,-116.7386 32.8124,-116.7385 32.8145,-116.7411 32.8141,-116.7433 32.8125,-116.7434 32.8098,-116.7425 32.8086,-116.7429 32.8063,-116.7457 32.8060,-116.7464 32.8048,-116.7463 32.8014,-116.7485 32.8002,-116.7511 32.7976,-116.7502 32.7930)))",6073021204,Alpine,0.005,,0.7728,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOLYGON (((-116.6981 32.8738,-116.6959 32.8692,-116.6948 32.8636,-116.6983 32.8635,-116.6987 32.8664,-116.7028 32.8664,-116.7025 32.8565,-116.7066 32.8564,-116.7068 32.8491,-116.7110 32.8490,-116.7109 32.8434,-116.7120 32.8411,-116.7160 32.8400,-116.7180 32.8374,-116.7240 32.8344,-116.7311 32.8346,-116.7484 32.8349,-116.7611 32.8382,-116.7755 32.8405,-116.7868 32.8397,-116.8008 32.8446,-116.8059 32.8481,-116.8046 32.8504,-116.8052 32.8514,-116.8039 32.8549,-116.8027 32.8552,-116.8018 32.8576,-116.7990 32.8603,-116.7980 32.8652,-116.7948 32.8683,-116.7952 32.8722,-116.7933 32.8750,-116.7929 32.8781,-116.7932 32.8816,-116.7943 32.8834,-116.7899 32.8883,-116.7894 32.8761,-116.7890 32.8771,-116.7883 32.8771,-116.7885 32.8786,-116.7879 32.8790,-116.7883 32.8798,-116.7877 32.8809,-116.7727 32.8817,-116.7725 32.8740,-116.7552 32.8740,-116.7552 32.8881,-116.7279 32.8883,-116.7195 32.8890,-116.7192 32.8742,-116.6981 32.8738)))",6073021206,Alpine,0.0025,0.0032,0.8784,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOLYGON (((-117.0229 32.6687,-117.0239 32.6655,-117.0278 32.6628,-117.0313 32.6613,-117.0333 32.6606,-117.0364 32.6605,-117.0407 32.6580,-117.0455 32.6609,-117.0489 32.6609,-117.0491 32.6629,-117.0515 32.6643,-117.0564 32.6632,-117.0572 32.6631,-117.0573 32.6639,-117.0526 32.6652,-117.0443 32.6697,-117.0405 32.6718,-117.0393 32.6732,-117.0357 32.6773,-117.0301 32.6816,-117.0237 32.6863,-117.0171 32.6916,-117.0140 32.6820,-117.0176 32.6780,-117.0162 32.6744,-117.0181 32.6737,-117.0209 32.6714,-117.0229 32.6687)))",6073003207,Bonita,0.0032,,0.0753,0,0.2492,0.0044,13.4,"(11.2, 15.8)",30.8,"(29.6, 32.0)",7.4,"( 7.0,  7.9)",8.6,"( 8.1,  9.1)",5.7,"( 5.0,  6.5)",5.6,"( 4.6,  6.7)",10.3,"( 9.5, 11.1)",32.4,"(31.6, 33.3)",3.2,"( 3.0,  3.5)",11.4,"(10.3, 12.4)",24,"(23.0, 25.0)",12.4,"(11.0, 13.8)",3,"( 2.6,  3.5)"
"MULTIPOLYGON (((-117.0407 32.6580,-117.0547 32.6484,-117.0571 32.6477,-117.0614 32.6480,-117.0678 32.6515,-117.0727 32.6564,-117.0743 32.6584,-117.0711 32.6593,-117.0670 32.6615,-117.0612 32.6636,-117.0573 32.6639,-117.0572 32.6631,-117.0564 32.6632,-117.0515 32.6643,-117.0491 32.6629,-117.0489 32.6609,-117.0455 32.6609,-117.0407 32.6580)))",6073003204,Bonita,0.0146,,0.0784,0,0.312,0.0736,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOLYGON (((-116.9648 32.7056,-116.9631 32.7024,-116.9618 32.6971,-116.9538 32.6897,-116.9567 32.6813,-116.9578 32.6805,-116.9580 32.6769,-116.9592 32.6753,-116.9611 32.6745,-116.9605 32.6707,-116.9643 32.6659,-116.9663 32.6648,-116.9662 32.6632,-116.9652 32.6627,-116.9655 32.6621,-116.9681 32.6624,-116.9713 32.6618,-116.9714 32.6638,-116.9784 32.6641,-116.9814 32.6660,-116.9897 32.6639,-116.9925 32.6624,-116.9954 32.6583,-116.9976 32.6592,-117.0003 32.6617,-117.0013 32.6643,-117.0030 32.6662,-117.0106 32.6693,-117.0115 32.6718,-117.0229 32.6687,-117.0209 32.6714,-117.0181 32.6737,-117.0162 32.6744,-117.0176 32.6780,-117.0140 32.6820,-117.0171 32.6916,-117.0140 32.6953,-117.0113 32.7013,-117.0102 32.7006,-117.0088 32.7015,-117.0062 32.7010,-117.0050 32.6994,-117.0067 32.6949,-117.0087 32.6943,-117.0089 32.6932,-117.0077 32.6909,-116.9887 32.6965,-116.9835 32.7013,-116.9786 32.7079,-116.9714 32.7092,-116.9648 32.7056)))",6073013410,Bonita,0.0045,,0.6055,0,0.043,0.0004,11.2,"( 9.7, 13.0)",21.5,"(20.8, 22.2)",3.7,"( 3.7,  3.8)",7.3,"( 7.0,  7.6)",2.6,"( 2.4,  2.7)",2.6,"( 2.4,  2.9)",7.4,"( 7.0,  7.8)",25,"(24.6, 25.5)",2,"( 1.9,  2.1)",9.7,"( 9.0, 10.5)",19.9,"(19.2, 20.7)",8.3,"( 7.6,  9.0)",1.6,"( 1.4,  1.7)"
"MULTIPOLYGON (((-117.0146 32.6520,-117.0145 32.6499,-117.0156 32.6479,-117.0245 32.6496,-117.0276 32.6488,-117.0329 32.6457,-117.0344 32.6460,-117.0363 32.6446,-117.0410 32.6435,-117.0420 32.6425,-117.0431 32.6387,-117.0474 32.6397,-117.0510 32.6413,-117.0552 32.6405,-117.0612 32.6478,-117.0614 32.6480,-117.0571 32.6477,-117.0547 32.6484,-117.0407 32.6580,-117.0364 32.6605,-117.0333 32.6606,-117.0313 32.6613,-117.0295 32.6574,-117.0259 32.6550,-117.0195 32.6545,-117.0146 32.6520)))",6073013412,Bonita,0.0085,,0.1276,0,0.0585,0.0077,11.8,"(10.1, 13.9)",28.1,"(27.3, 28.8)",5.8,"( 5.6,  5.9)",7.8,"( 7.5,  8.2)",4.4,"( 4.1,  4.7)",4,"( 3.6,  4.4)",10.3,"( 9.8, 10.8)",31,"(30.5, 31.6)",2.8,"( 2.7,  2.9)",10.2,"( 9.4, 11.0)",22.1,"(21.3, 22.8)",10.6,"( 9.8, 11.5)",2.4,"( 2.2,  2.5)"
"MULTIPOLYGON (((-116.9954 32.6583,-117.0009 32.6532,-116.9991 32.6514,-117.0004 32.6511,-117.0015 32.6521,-117.0032 32.6499,-117.0049 32.6490,-117.0050 32.6481,-117.0073 32.6510,-117.0146 32.6520,-117.0195 32.6545,-117.0259 32.6550,-117.0295 32.6574,-117.0313 32.6613,-117.0278 32.6628,-117.0239 32.6655,-117.0229 32.6687,-117.0115 32.6718,-117.0106 32.6693,-117.0030 32.6662,-117.0013 32.6643,-117.0003 32.6617,-116.9976 32.6592,-116.9954 32.6583)))",6073013411,Bonita,0.0066,,0.1152,0,0.0122,0.002,9.6,"( 8.0, 11.4)",30,"(29.0, 30.9)",7.1,"( 6.9,  7.3)",7.5,"( 7.2,  7.9)",4.8,"( 4.4,  5.3)",4.1,"( 3.6,  4.7)",10.2,"( 9.6, 10.8)",32.9,"(32.3, 33.6)",2.9,"( 2.7,  3.0)",8.9,"( 8.2,  9.7)",20.6,"(19.7, 21.4)",9.9,"( 9.0, 10.8)",2.5,"( 2.3,  2.7)"
"MULTIPOLYGON (((-117.1584 33.3239,-117.1515 33.3111,-117.1502 33.3003,-117.1495 33.2887,-117.1500 33.2848,-117.1514 33.2812,-117.1573 33.2707,-117.1587 33.2650,-117.1585 33.2599,-117.1561 33.2529,-117.1632 33.2531,-117.1731 33.2514,-117.1755 33.2517,-117.1797 33.2535,-117.1839 33.2526,-117.1904 33.2531,-117.1957 33.2522,-117.2041 33.2534,-117.2074 33.2545,-117.2095 33.2560,-117.2128 33.2569,-117.2126 33.2587,-117.2150 33.2606,-117.2220 33.2633,-117.2239 33.2635,-117.2281 33.2663,-117.2306 33.2672,-117.2330 33.2672,-117.2354 33.2601,-117.2362 33.2597,-117.2370 33.2634,-117.2366 33.2672,-117.2415 33.2685,-117.2440 33.2670,-117.2449 33.2670,-117.2449 33.2781,-117.2458 33.2781,-117.2456 33.2790,-117.2464 33.2790,-117.2467 33.2808,-117.2475 33.2811,-117.2464 33.2820,-117.2472 33.2825,-117.2461 33.2846,-117.2424 33.2882,-117.2414 33.2926,-117.2431 33.2936,-117.2383 33.2925,-117.2355 33.2933,-117.2336 33.2902,-117.2255 33.2889,-117.2255 33.2913,-117.2205 33.2957,-117.2189 33.2994,-117.2165 33.3023,-117.2141 33.3035,-117.2106 33.3066,-117.1987 33.3127,-117.1960 33.3151,-117.1882 33.3145,-117.1818 33.3158,-117.1794 33.3156,-117.1767 33.3162,-117.1716 33.3218,-117.1673 33.3231,-117.1594 33.3310,-117.1584 33.3239)))",6073018803,Bonsall,0.0014,,0.7384,2,0.1757,0.0109,,,,,,,,,,,,,,,,,,,,,,,,,,
